CÓDIGODO FUNDO;SETOR;PREÇO ATUAL;LIQUIDEZ DIÁRIA;DIVIDENDYIELD;DY (12M)ACUMULADO;DY (12M)MÉDIA;DY ANO;PATRIMÔNIOLÍQ.;P/VPA;VACÂNCIAFÍSICA;QUANTIDADEATIVOS
NVIF11B;Outros;N/A;N/A;0,00%;0,00%;0,00%;N/A;R$ 52.407.510,11;N/A;N/A;0
ONEF11;Lajes Corporativas;R$ 150,00;951.0;0,42%;6,03%;0,50%;3,89%;R$ 101.565.435,43;1,35;10,30%;1
OUCY11;Títulos e Val. Mob.;R$ 100,00;190.0;0,65%;7,63%;0,64%;5,09%;R$ 52.807.708,60;1,01;N/A;0
OUFF11;Títulos e Val. Mob.;R$ 94,69;692.0;0,47%;0,00%;0,00%;0,93%;R$ 65.281.692,41;0,97;N/A;0
OUJP11;Títulos e Val. Mob.;R$ 106,00;5374.0;0,61%;10,08%;0,84%;7,91%;R$ 196.292.683,97;1,04;N/A;0
OULG11B;Outros;R$ 115,00;954.0;0,71%;0,00%;0,00%;3,65%;R$ 90.357.509,03;1,35;0,00%;1
PABY11;Híbrido;R$ 25,50;13.0;0,00%;0,00%;0,00%;0,00%;R$ 191.366.662,82;0,10;N/A;1
PATC11;Lajes Corporativas;R$ 102,00;13805.0;0,37%;0,00%;0,00%;1,92%;R$ 145.216.809,88;1,06;N/A;2
PLRI11;Títulos e Val. Mob.;R$ 61,25;61.0;0,37%;6,44%;0,54%;5,02%;R$ 70.657.197,16;0,83;N/A;0
PORD11;Títulos e Val. Mob.;R$ 107,38;36.0;3,89%;10,56%;0,88%;3,89%;R$ 104.640.410,13;1,03;N/A;0
PQDP11;Shoppings;R$ 3.159,95;42.0;0,51%;5,65%;0,47%;3,71%;R$ 701.563.557,99;1,07;3,10%;1
PRSV11;Lajes Corporativas;R$ 415,00;29.0;0,47%;6,05%;0,50%;4,08%;R$ 79.319.178,93;1,02;8,81%;2
RBBV11;Títulos e Val. Mob.;R$ 87,00;148.0;0,22%;5,47%;0,46%;3,93%;R$ 125.670.473,85;0,87;N/A;1
RBCB11;Outros;R$ 28,32;40.0;0,00%;14,62%;1,22%;4,38%;R$ 467.275,88;3,22;N/A;0
RBDS11;Residencial;R$ 106,49;88.0;0,38%;17,81%;1,48%;13,35%;R$ 14.515.626,51;0,93;N/A;0
RBED11;Outros;R$ 158,97;2924.0;0,64%;8,35%;0,70%;6,01%;R$ 112.102.639,25;1,07;0,00%;2
RBFF11;Títulos e Val. Mob.;R$ 76,77;177.0;0,65%;6,02%;0,50%;4,38%;R$ 35.152.117,08;0,80;N/A;0
RBGS11;Shoppings;R$ 47,70;70.0;0,55%;5,25%;0,44%;4,46%;R$ 100.111.332,69;0,51;12,40%;1
RBRD11;Híbrido;R$ 107,92;673.0;0,47%;9,72%;0,81%;4,85%;R$ 146.821.472,56;1,36;0,00%;4
RBRF11;Títulos e Val. Mob.;R$ 105,41;15658.0;0,56%;8,47%;0,71%;6,04%;R$ 488.690.272,30;1,05;N/A;0
RBRP11;Outros;R$ 88,00;5.0;0,37%;0,00%;0,00%;1,16%;R$ 228.947.796,64;1,09;N/A;0
RBRR11;Títulos e Val. Mob.;R$ 103,70;13836.0;0,57%;7,30%;0,61%;4,33%;R$ 457.591.199,57;1,06;N/A;0
RBRY11;Títulos e Val. Mob.;R$ 118,00;8.0;0,46%;0,00%;0,00%;0,96%;R$ 112.031.632,53;1,13;N/A;0
RBVA11;Outros;R$ 128,74;8953.0;0,71%;8,46%;0,71%;6,64%;R$ 444.718.717,81;1,17;N/A;44
RBVO11;Outros;R$ 39,80;163.0;0,49%;8,26%;0,69%;4,27%;R$ 26.247.606,83;0,78;N/A;0
RDES11;Lajes Corporativas;R$ 64,00;501.0;15,50%;19,14%;1,60%;18,05%;R$ 61.119.141,94;0,78;46,74%;4
RDPD11;Títulos e Val. Mob.;R$ 91,80;7.0;0,48%;6,00%;0,50%;4,69%;R$ 104.844.254,98;0,94;N/A;0
RECT11;Híbrido;R$ 104,35;4995.0;0,99%;0,00%;0,00%;2,48%;R$ 115.395.368,32;1,09;N/A;1
RNDP11;Títulos e Val. Mob.;R$ 940,01;130.0;0,50%;6,41%;0,53%;4,82%;R$ 115.879.551,34;0,87;N/A;0
RNGO11;Lajes Corporativas;R$ 83,57;2432.0;0,58%;7,04%;0,59%;5,32%;R$ 250.951.051,64;0,89;19,50%;3
SAAG11;Outros;R$ 128,00;8097.0;0,72%;8,60%;0,72%;6,51%;R$ 508.520.723,24;1,42;N/A;28
SADI11;Títulos e Val. Mob.;R$ 96,75;310.0;0,29%;0,00%;0,00%;0,61%;R$ 318.433.272,58;0,97;N/A;0
SCPF11;Shoppings;R$ 11,95;1209.0;0,56%;6,11%;0,51%;4,89%;R$ 48.574.354,75;1,03;9,65%;1
SDIL11;Logística;R$ 118,00;17944.0;0,55%;7,06%;0,59%;5,12%;R$ 442.089.378,17;1,27;3,50%;3
SHPH11;Shoppings;R$ 940,00;45.0;0,39%;4,78%;0,40%;3,65%;R$ 430.932.418,25;1,33;1,70%;1
SPTW11;Lajes Corporativas;R$ 88,00;4522.0;0,69%;8,75%;0,73%;6,39%;R$ 135.001.256,83;1,17;0,00%;2
TBOF11;Lajes Corporativas;R$ 89,25;7418.0;0,35%;3,95%;0,33%;2,80%;R$ 879.469.482,76;1,02;23,50%;1
TFOF11;Títulos e Val. Mob.;R$ 146,95;397.0;1,32%;15,10%;1,26%;10,47%;R$ 108.945.720,39;1,15;N/A;0
TGAR11;Outros;R$ 138,07;3347.0;0,65%;8,19%;0,68%;5,92%;R$ 195.746.263,59;1,09;N/A;0
THRA11;Lajes Corporativas;R$ 139,86;3902.0;0,44%;5,65%;0,47%;3,58%;R$ 149.495.525,77;1,38;0,00%;1
TRNT11;Lajes Corporativas;R$ 213,98;27.0;0,30%;4,23%;0,35%;2,95%;R$ 784.779.572,09;1,07;20,70%;1
TRXL11;Logística;R$ 105,00;1453.0;0,38%;5,10%;0,42%;3,65%;R$ 184.010.921,86;1,07;24,60%;6
UBSR11;Títulos e Val. Mob.;R$ 110,67;13549.0;0,78%;10,95%;0,91%;6,07%;R$ 464.109.700,87;1,14;N/A;0
VGIR11;Títulos e Val. Mob.;R$ 102,90;7030.0;0,66%;0,00%;0,00%;6,07%;R$ 187.380.337,11;1,05;N/A;0
VILG11;Logística;R$ 114,22;31857.0;0,59%;0,00%;0,00%;5,92%;R$ 232.255.543,20;1,08;0,00%;3
VISC11;Shoppings;R$ 119,45;29833.0;0,74%;7,05%;0,59%;5,32%;R$ 840.645.677,09;1,16;5,60%;10
VLOL11;Lajes Corporativas;R$ 100,51;13501.0;0,47%;5,07%;0,42%;3,87%;R$ 152.293.765,71;1,18;0,00%;1
VOTS11;Títulos e Val. Mob.;R$ 87,80;2.0;0,47%;5,61%;0,47%;4,67%;R$ 80.751.439,38;0,90;N/A;0
VRTA11;Títulos e Val. Mob.;R$ 120,90;20896.0;0,58%;9,09%;0,76%;6,32%;R$ 517.549.300,97;1,13;N/A;0
VSHO11;Shoppings;R$ 100,40;137.0;0,62%;0,00%;0,00%;5,52%;R$ 225.000.337,31;0,94;5,67%;3
VTLT11;Logística;R$ 100,29;580.0;0,69%;8,90%;0,74%;6,19%;R$ 205.599.923,36;1,03;0,00%;1
WPLZ11;Shoppings;R$ 105,00;969.0;0,41%;5,89%;0,49%;4,82%;R$ 81.314.324,56;1,32;3,00%;1
XPCM11;Lajes Corporativas;R$ 57,36;8173.0;1,38%;12,18%;1,01%;9,53%;R$ 201.484.118,70;0,69;0,00%;1
XPHT11;Hotel;R$ 104,84;33.0;0,44%;0,00%;0,00%;3,05%;R$ 388.208.649,61;1,01;N/A;0
XPIN11;Outros;R$ 115,00;14988.0;0,63%;7,20%;0,60%;4,80%;R$ 247.916.394,80;1,01;3,30%;3
XPLG11;Logística;R$ 105,90;76126.0;0,57%;7,52%;0,63%;5,56%;R$ 660.086.690,02;1,08;0,00%;6
XPML11;Shoppings;R$ 113,00;68928.0;0,51%;6,70%;0,56%;4,11%;R$ 1.410.749.522,84;1,10;2,70%;10
XTED11;Lajes Corporativas;R$ 9,35;8741.0;0,00%;0,00%;0,00%;0,00%;R$ 25.942.373,81;0,65;100,00%;1
